Annotation_source,taxa,Kingdom,Phylum,Class,Order,Family,Genus,Species,Animal_pathogen,Plant_pathogen,pathogen_type
gtdb_bac_meta-ssu_silva_taxonomy,Selenomonas sp. oral taxon 136,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sp. oral taxon 136,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Synechococcus sp. KORDI-49,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus CC9902,Synechococcus sp. KORDI-49,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Serratia sp. FS14,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia sp. FS14,NA,NA,NA
microbe-directory,Stigmatella aurantiaca,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,Stigmatella,Stigmatella aurantiaca,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Leptotrichia hongkongensis,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia hongkongensis,NA,NA,NA
microbe-directory,Alkaliphilus metalliredigens,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Alkaliphilus,Alkaliphilus metalliredigens,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Cohnella abietis,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,Cohnella abietis,NA,NA,NA
microbe-directory,Mycobacterium liflandii,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium liflandii,1,0,1
gtdb_bac_meta-ssu_silva_taxonomy,Wolbachia endosymbiont of Cimex lectularius,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Cimex lectularius,NA,NA,NA
gtdb_bac_meta-lsu_silva_23s_taxonomy,Bacillus vietnamensis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus vietnamensis,NA,NA,NA
microbe-directory,Xanthomonas perforans,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas perforans,0,1,2
microbe-directory,Desulfurococcus mucosus,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus mucosus,NA,NA,NA
microbe-directory,Enterococcus avium,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus avium,0,0,NA
gtdb_bac_meta-ssu_silva_taxonomy,Janthinobacterium sp. B9-8,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chitinibacteraceae,Iodobacter,Janthinobacterium sp. B9-8,NA,NA,NA
ncbi,Leptospirillum sp. Group II 'CF-1',Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Leptospirillum,Leptospirillum sp. Group II 'CF-1',NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Pseudomonas corrugata,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas corrugata,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Bacillus pacificus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pacificus,NA,NA,NA
microbe-directory,Hafnia alvei,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Hafnia,Hafnia alvei,NA,NA,NA
microbe-directory,Pelagibacterium halotolerans,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pelagibacterium,Pelagibacterium halotolerans,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Acinetobacter sp. WCHA45,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp. WCHA45,NA,NA,NA
microbe-directory,Fusobacterium gonidiaformans,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium gonidiaformans,1,0,1
microbe-directory,Alistipes finegoldii,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,1,0,1
gtdb_bac_meta-ssu_silva_taxonomy,Pedobacter sp. PACM 27299,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter sp. PACM 27299,NA,NA,NA
microbe-directory,Leadbetterella byssophila,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Leadbetterella,Leadbetterella byssophila,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Agrobacterium rhizogenes,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium rhizogenes,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Actinobacillus porcitonsillarum,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus porcitonsillarum,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Nonlabens sp. MB-3u-79,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Nonlabens,Nonlabens sp. MB-3u-79,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Actinomyces qiguomingii,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces qiguomingii,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Aneurinibacillus soli,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,Aneurinibacillus soli,NA,NA,NA
microbe-directory,Caldicellulosiruptor kristjanssonii,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III Incertae Sedis,Caldicellulosiruptor,Caldicellulosiruptor kristjanssonii,NA,NA,NA
microbe-directory,Clostridium tyrobutyricum,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium tyrobutyricum,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Brachybacterium avium,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium avium,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Klebsiella quasipneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella quasipneumoniae,NA,NA,NA
microbe-directory,Methylocella silvestris,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella,Methylocella silvestris,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Nostoc sphaeroides,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Nostoc,Nostoc sphaeroides,NA,NA,NA
microbe-directory,Serratia odorifera,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,Serratia odorifera,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Tenacibaculum maritimum,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,Tenacibaculum maritimum,NA,NA,NA
microbe-directory,Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter schindleri,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Mycoplasma phocidae,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma phocidae,NA,NA,NA
microbe-directory,Bartonella grahamii,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella grahamii,1,0,1
gtdb_bac_meta-ncbi_taxonomy,Halomicronema hongdechloris,Bacteria,Cyanobacteria,,Synechococcales,Prochlorotrichaceae,Halomicronema,Halomicronema hongdechloris,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Carnobacterium divergens,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Carnobacterium divergens,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Candidatus Fukatsuia symbiotica,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Candidatus Fukatsuia,Candidatus Fukatsuia symbiotica,NA,NA,NA
microbe-directory,Vibrio nigripulchritudo,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio nigripulchritudo,1,0,1
gtdb_bac_meta-ssu_silva_taxonomy,Clostridium sp. DL-VIII,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,Clostridium sp. DL-VIII,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Lactobacillus paraplantarum,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactobacillus paraplantarum,NA,NA,NA
microbe-directory,Micavibrio aeruginosavorus,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria noname,Alphaproteobacteria noname,Micavibrio,Micavibrio aeruginosavorus,1,0,1
microbe-directory,Yersinia intermedia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Yersinia intermedia,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Thauera hydrothermalis,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera,Thauera hydrothermalis,NA,NA,NA
microbe-directory,Azotobacter vinelandii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,Azotobacter vinelandii,0,NA,NA
microbe-directory,Streptococcus cristatus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus cristatus,NA,0,NA
microbe-directory,Gordonia terrae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Gordoniaceae,Gordonia,Gordonia terrae,0,0,NA
microbe-directory,Anaplasma phagocytophilum,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma,Anaplasma phagocytophilum,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Candidatus Ishikawaella capsulata,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Ishikawaella,Candidatus Ishikawaella capsulata,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Candidatus Pelagibacter sp. RS40,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,Candidatus Pelagibacter sp. RS40,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Brevibacterium luteolum,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium luteolum,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Candidatus Nanopelagicus limnes,Bacteria,Actinobacteria,Actinomycetia,Candidatus Nanopelagicales,Candidatus Nanopelagicaceae,Candidatus Nanopelagicus,Candidatus Nanopelagicus limnes,NA,NA,NA
microbe-directory,Epiphyas postvittana nucleopolyhedrovirus,Viruses,Viruses noname,Viruses noname,Viruses noname,Baculoviridae,Alphabaculovirus,Epiphyas postvittana nucleopolyhedrovirus,1,NA,1
microbe-directory,Dehalogenimonas lykanthroporepellens,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidia noname,Dehalococcoidia noname,Dehalogenimonas,Dehalogenimonas lykanthroporepellens,0,0,NA
microbe-directory,Bordetella petrii,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella petrii,1,0,1
microbe-directory,Spiribacter salinus,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Spiribacter,Spiribacter salinus,NA,NA,NA
microbe-directory,Xanthomonas hortorum,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas hortorum,0,1,2
gtdb_bac_meta-ncbi_taxonomy,Neisseria chenwenguii,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria chenwenguii,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Achromobacter denitrificans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter denitrificans,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Streptomyces qaidamensis,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces qaidamensis,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Rhodobacteraceae bacterium BAR1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter clade NAC11-7 lineage,Rhodobacteraceae bacterium BAR1,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Pedobacter sp. eg,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter sp. eg,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Roseateles depolymerans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Roseateles,Roseateles depolymerans,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Rhizobacter gummiphilus,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Rhizobacter,Rhizobacter gummiphilus,NA,NA,NA
microbe-directory,Mycoplasma agalactiae,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma agalactiae,1,0,1
gtdb_ar_meta-ssu_silva_taxonomy,Thermoplasmatales archaeon BRNA1,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Candidatus Methanomethylophilus,Thermoplasmatales archaeon BRNA1,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Pseudomonas sp. BIOMIG1BAC,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. BIOMIG1BAC,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Flavobacterium crocinum,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium crocinum,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Sphingobium sp. MI1205,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium sp. MI1205,NA,NA,NA
gtdb_ar_meta-ssu_silva_taxonomy,Natrinema sp. J7-2,Archaea,Halobacterota,Halobacteria,Halobacterales,Haloferacaceae,Natrinema,Natrinema sp. J7-2,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Streptococcus sp. FDAARGOS_192,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sp. FDAARGOS_192,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Blattabacterium cuenoti,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Blattabacteriaceae,Blattabacterium,Blattabacterium cuenoti,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Prochlorococcus sp. MIT 0801,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus MIT9313,Prochlorococcus sp. MIT 0801,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Corynebacterium kutscheri,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kutscheri,NA,NA,NA
microbe-directory,Acidianus filamentous virus 3,Viruses,Viruses noname,Viruses noname,Viruses noname,Lipothrixviridae,Betalipothrixvirus,Acidianus filamentous virus 3,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Burkholderia sp. IDO3,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Burkholderia sp. IDO3,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Herbaspirillum huttiense,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,Herbaspirillum huttiense,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Halomonas socia,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas socia,NA,NA,NA
microbe-directory,Chlorobaculum tepidum,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum,Chlorobaculum tepidum,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Synechococcus lividus,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus lividus,NA,NA,NA
microbe-directory,Treponema succinifaciens,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema succinifaciens,0,0,NA
gtdb_bac_meta-ssu_silva_taxonomy,Pseudonocardia sp. HH130630-07,Bacteria,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia sp. HH130630-07,NA,NA,NA
gtdb_ar_meta-ssu_silva_taxonomy,Thermococcus sp. AM4,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp. AM4,NA,NA,NA
microbe-directory,Ureibacillus thermosphaericus,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Ureibacillus,Ureibacillus thermosphaericus,0,0,NA
gtdb_bac_meta-ssu_silva_taxonomy,Pseudonocardia sp. EC080625-04,Bacteria,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia sp. EC080625-04,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Streptomyces pluripotens,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces pluripotens,NA,NA,NA
microbe-directory,Cyprinid herpesvirus 1,Viruses,Viruses noname,Viruses noname,Herpesvirales,Alloherpesviridae,Cyprinivirus,Cyprinid herpesvirus 1,1,0,1
microbe-directory,Cyprinid herpesvirus 2,Viruses,Viruses noname,Viruses noname,Herpesvirales,Alloherpesviridae,Cyprinivirus,Cyprinid herpesvirus 2,1,0,1
microbe-directory,Cyprinid herpesvirus 3,Viruses,Viruses noname,Viruses noname,Herpesvirales,Alloherpesviridae,Cyprinivirus,Cyprinid herpesvirus 3,1,0,1
microbe-directory,Desulfurivibrio alkaliphilus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfurivibrio,Desulfurivibrio alkaliphilus,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Candidatus Xiphinematobacter sp. Idaho Grape,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus Xiphinematobacter,Candidatus Xiphinematobacter sp. Idaho Grape,NA,NA,NA
microbe-directory,Lymantria dispar multiple nucleopolyhedrovirus,Viruses,Viruses noname,Viruses noname,Viruses noname,Baculoviridae,Alphabaculovirus,Lymantria dispar multiple nucleopolyhedrovirus,NA,NA,NA
microbe-directory,Leptospirillum ferrooxidans,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Leptospirillum,Leptospirillum ferrooxidans,NA,NA,NA
gtdb_bac_meta-lsu_silva_23s_taxonomy,Psychrobacter sp. P11G3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter sp. P11G3,NA,NA,NA
gtdb_bac_meta-lsu_silva_23s_taxonomy,Psychrobacter sp. P11G5,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter sp. P11G5,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Pseudomonas salegens,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas salegens,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Geobacillus sp. JS12,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Geobacillus sp. JS12,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Spirosoma aerolatum,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,Spirosoma aerolatum,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Formosa sp. Hel1_31_208,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Arcticiflavibacter,Formosa sp. Hel1_31_208,NA,NA,NA
microbe-directory,Candidatus Moranella endobia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Candidatus Moranella,Candidatus Moranella endobia,NA,0,NA
gtdb_bac_meta-ncbi_taxonomy,Pseudomonas azotoformans,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas azotoformans,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Burkholderiales bacterium YL45,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,Burkholderiales bacterium YL45,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Streptomyces globosus,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces globosus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Nocardioides daphniae,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides daphniae,NA,NA,NA
microbe-directory,Helicobacter bilis,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter bilis,1,NA,1
microbe-directory,Aerococcus viridans,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus viridans,1,NA,1
microbe-directory,Mesotoga prima,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Mesotoga,Mesotoga prima,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Staphylococcus lutrae,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus lutrae,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Bradyrhizobium lablabi,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium lablabi,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Staphylococcus sp. SDB 2975,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus sp. SDB 2975,NA,NA,NA
microbe-directory,Solitalea canadensis,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,Solitalea canadensis,NA,NA,NA
microbe-directory,Brachyspira hampsonii,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Brachyspiraceae,Brachyspira,Brachyspira hampsonii,1,0,1
microbe-directory,Bacillus methanolicus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus methanolicus,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Pseudoalteromonas sp. 1_2015MBL_MicDiv,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. 1_2015MBL_MicDiv,NA,NA,NA
microbe-directory,Cotia virus,Viruses,Viruses noname,Viruses noname,Viruses noname,Poxviridae,Poxviridae noname,Cotia virus,1,0,1
microbe-directory,Dokdonia donghaensis,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,Dokdonia donghaensis,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Corynebacterium stationis,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium stationis,NA,NA,NA
microbe-directory,Cryptophlebia leucotreta granulovirus,Viruses,Viruses noname,Viruses noname,Viruses noname,Baculoviridae,Betabaculovirus,Cryptophlebia leucotreta granulovirus,1,0,1
gtdb_bac_meta-ncbi_taxonomy,Mucilaginibacter mallensis,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Mucilaginibacter mallensis,NA,NA,NA
microbe-directory,Rothia dentocariosa,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,Rothia dentocariosa,NA,0,NA
microbe-directory,Desulfovibrio gigas,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio gigas,NA,NA,NA
microbe-directory,Burkholderia dolosa,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia dolosa,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Pectobacterium parmentieri,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium,Pectobacterium parmentieri,NA,NA,NA
microbe-directory,Dinoroseobacter shibae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Dinoroseobacter,Dinoroseobacter shibae,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Lachnospiraceae bacterium oral taxon 500,Bacteria,Firmicutes,Clostridia,Lachnospirales,Defluviitaleaceae,Defluviitaleaceae UCG-011,Lachnospiraceae bacterium oral taxon 500,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Chryseobacterium nakagawai,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium nakagawai,NA,NA,NA
microbe-directory,Pseudomonas fuscovaginae,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fuscovaginae,0,1,2
gtdb_bac_meta-ncbi_taxonomy,Spiroplasma monobiae,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma monobiae,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Mesoplasma chauliocola,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Mesoplasma,Mesoplasma chauliocola,NA,NA,NA
gtdb_bac_meta-lsu_silva_23s_taxonomy,Vibrio sp. EJY3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Vibrio sp. EJY3,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Lactobacillus futsaii,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Lactobacillus futsaii,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Catenovulum sediminis,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Catenovulum,Catenovulum sediminis,NA,NA,NA
